Date : 2023-07-09 16:11:28
Directory : c:\programs\video-roll\VideoRoll\src
Total : 55 files,  2391 codes, 429 comments, 422 blanks, all 3242 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\programs\video-roll\VideoRoll\src\popup\content\components\Scale\index.less        | Less           |         28 |          0 |          6 |         34 |
| c:\programs\video-roll\VideoRoll\src\popup\content\components\Scale\index.tsx         | TypeScript JSX |         91 |          5 |          9 |        105 |
| c:\programs\video-roll\VideoRoll\src\popup\content\components\SettingPanel\index.less | Less           |         25 |          1 |          5 |         31 |
| c:\programs\video-roll\VideoRoll\src\popup\content\components\SettingPanel\index.tsx  | TypeScript JSX |         52 |          5 |          6 |         63 |
| c:\programs\video-roll\VideoRoll\src\popup\content\components\Store\index.less        | Less           |         20 |          0 |          3 |         23 |
| c:\programs\video-roll\VideoRoll\src\popup\content\components\Store\index.tsx         | TypeScript JSX |         49 |          5 |          5 |         59 |
| c:\programs\video-roll\VideoRoll\src\popup\content\components\Zoom\index.less         | Less           |         26 |          0 |          3 |         29 |
| c:\programs\video-roll\VideoRoll\src\popup\content\components\Zoom\index.tsx          | TypeScript JSX |         40 |          5 |          6 |         51 |
| c:\programs\video-roll\VideoRoll\src\popup\content\index.less                         | Less           |         55 |          0 |          9 |         64 |
| c:\programs\video-roll\VideoRoll\src\popup\content\main.ts                            | TypeScript     |         47 |          6 |          6 |         59 |
| c:\programs\video-roll\VideoRoll\src\popup\content\use\index.ts                       | TypeScript     |          3 |          5 |          0 |          8 |
| c:\programs\video-roll\VideoRoll\src\popup\content\use\useComponents.ts               | TypeScript     |         54 |          5 |          3 |         62 |
| c:\programs\video-roll\VideoRoll\src\popup\content\use\useConfig.ts                   | TypeScript     |         46 |          5 |          5 |         56 |
| c:\programs\video-roll\VideoRoll\src\popup\content\use\useDegBtn.ts                   | TypeScript     |         27 |          5 |          3 |         35 |
| c:\programs\video-roll\VideoRoll\src\popup\content\utils\index.ts                     | TypeScript     |         53 |         24 |         10 |         87 |
| c:\programs\video-roll\VideoRoll\src\popup\index.html                                 | HTML           |         13 |          5 |          2 |         20 |
| c:\programs\video-roll\VideoRoll\src\types\shims-vue.d.ts                             | TypeScript     |          5 |          5 |          1 |         11 |
| c:\programs\video-roll\VideoRoll\src\types\type.d.ts                                  | TypeScript     |         93 |          5 |         20 |        118 |
| c:\programs\video-roll\VideoRoll\src\util\clone.ts                                    | TypeScript     |          7 |          0 |          0 |          7 |
| c:\programs\video-roll\VideoRoll\src\util\getBrowser.ts                               | TypeScript     |         32 |          6 |         11 |         49 |
| c:\programs\video-roll\VideoRoll\src\util\index.ts                                    | TypeScript     |          5 |          0 |          2 |          7 |
| c:\programs\video-roll\VideoRoll\src\util\sendRuntimeMessage.ts                       | TypeScript     |         11 |          6 |          2 |         19 |
| c:\programs\video-roll\VideoRoll\src\util\sendTabMessage.ts                           | TypeScript     |         11 |          6 |          2 |         19 |
| c:\programs\video-roll\VideoRoll\src\util\setBadge.ts                                 | TypeScript     |         13 |          1 |          2 |         16 |
| c:\programs\video-roll\VideoRoll\src\website.ts                                       | TypeScript     |         12 |          8 |          2 |         22 |
| Total                                                                                 |                |      2,391 |        429 |        422 |      3,242 |
+---------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
